Time,Manipulability,Error
55.0258,53.5432,1.14688
55.1257,55.9495,1.14163
55.2298,57.4279,1.13671
55.3307,57.72,1.13174
55.4307,56.8282,1.08736
55.5307,54.7475,1.02498
55.6307,51.622,0.960783
55.7307,47.6564,0.893241
55.8322,43.1171,0.81964
55.9319,38.5803,0.744689
56.0322,35.379,0.685458
56.1322,34.1898,0.65157
56.2318,34.2931,0.633874
56.3319,34.7005,0.619671
56.4317,35.2717,0.610291
56.5317,35.525,0.601125
56.6317,35.5358,0.589288
56.7318,35.5432,0.577439
56.8317,35.5458,0.566183
56.9317,35.5545,0.554591
57.0318,35.5644,0.54325
57.1318,35.5629,0.53255
57.2317,35.5588,0.522445
57.3327,35.5577,0.512111
57.4329,35.5603,0.501884
57.5327,35.5686,0.491431
57.6327,35.5951,0.480299
57.7327,35.6567,0.468184
57.8331,35.7212,0.45645
57.9327,35.7759,0.444965
58.0328,35.816,0.434598
58.1331,35.8562,0.425262
58.2388,35.8952,0.416196
58.3498,36.1073,1.73205
58.4558,37.4643,1.73205
58.5558,39.9476,1.73205
58.6557,43.5368,1.73205
58.7557,48.0147,1.73205
58.8558,53.1361,1.73205
58.9558,58.5474,1.73205
59.0558,63.8396,1.73205
59.1558,68.3503,1.73205
59.2558,71.2332,1.73205
59.3557,71.7871,1.73205
59.4557,70.0581,1.73205
59.5597,66.6622,1.73205
59.6597,62.094,1.68401
59.7597,56.7967,1.62618
59.8611,51.1543,1.5815
59.9608,45.3412,1.55545
60.0608,39.4079,1.5385
60.1609,33.7188,1.5217
60.2607,27.9466,1.51532
60.3608,22.4265,1.51712
60.4608,17.3417,1.52473
60.5607,12.4558,1.52802
60.6608,8.47814,1.49481
60.7637,6.08472,1.4768
60.8647,5.48807,1.46916
60.9647,5.60463,1.46744
61.0667,5.78328,1.46708
61.1667,5.83011,1.46738
61.2688,5.8072,1.46831
61.3708,5.77166,1.46945
61.4729,5.74621,1.47057
61.5748,5.7282,1.47144
61.6758,5.71506,1.47204
61.7758,5.7065,1.47242
61.8779,5.7013,1.47263
61.9779,5.69758,1.47273
62.0788,5.69384,1.47279
62.1789,5.69004,1.47284
62.2789,5.68698,1.47286
