Time,Manipulability,Error
87.0601,49.7852,0.612072
87.1601,49.3186,0.609324
87.2601,48.7143,0.605983
87.3612,48.2918,0.603542
87.4611,47.8712,0.601237
87.5611,47.3859,0.598673
87.6613,46.9045,0.596198
87.7636,46.3464,0.593361
87.8713,45.5019,1.55732
87.9712,43.0519,1.54549
88.0735,40.5215,1.49389
88.1752,38.2719,1.4241
88.2752,36.542,1.36283
88.3821,35.0192,1.31768
88.4842,33.9834,1.29011
88.5841,33.0905,1.27166
88.6842,32.4101,1.2594
88.7872,31.7246,1.25017
88.8891,31.2623,1.24412
88.9912,30.87,1.24049
89.0942,30.4963,1.23815
89.1962,30.0926,1.23635
89.2962,29.9983,1.23438
89.3972,29.9849,1.2289
89.4972,30.0058,1.21956
89.5976,30.0111,1.20915
89.6972,29.9799,1.19934
89.7992,30.0047,1.19008
89.8992,30.0011,1.18261
89.9992,29.9972,1.17487
90.0993,30.005,1.16781
90.1992,30.0014,1.16265
90.2997,30.0853,1.15731
90.3992,30.2877,1.15523
90.4993,30.1516,1.16041
90.5992,30.0023,1.16836
90.7015,29.9755,1.17646
90.8017,29.9781,1.17842
90.9022,30.0131,1.17567
91.0036,29.9948,1.17166
91.1033,30.0158,1.16593
91.2193,30.1705,1.16219
91.3274,30.0109,1.16545
91.4273,30.009,1.17322
91.5285,30.0102,1.17834
91.6303,29.9949,1.17689
91.7303,30.0142,1.17336
91.8304,29.9967,1.17016
91.9314,30.0092,1.16609
92.0314,29.9925,1.16335
92.1313,30.0099,1.15899
92.2356,30.1085,1.15567
92.3354,30.2883,1.15659
92.4404,30.1997,1.16301
92.5404,29.9775,1.16908
92.6435,30.0227,1.17657
92.7433,29.9991,1.17951
92.8494,29.9527,1.10372
92.9494,29.9971,0.982545
93.0514,29.9874,0.818598
93.1514,30.0145,0.698939
93.2514,30.0021,0.617406
93.3522,29.9641,0.559124
93.4525,29.9709,0.516608
93.5525,29.9944,0.485199
93.6539,29.9999,0.462851
93.7534,30.0032,0.446395
93.8535,29.9931,0.43539
93.9547,30.0155,0.427515
94.0565,29.9935,0.422251
94.1585,30.023,0.418987
94.2586,29.98,0.416815
94.3635,30.0135,0.415544
94.4715,30.0045,0.414756
94.5755,29.9983,0.414254
94.6754,30.0261,0.41437
94.7755,29.9883,0.414262
94.8756,30.0093,0.414589
94.9755,30.0198,0.414939
95.0755,29.9886,0.415004
95.1758,30.0185,0.415435
95.2759,29.9847,0.415439
